Date,PnL
2012-10-11,2480.33690451169
2012-10-12,-2451.517830143314
2012-10-15,2894.9681630735436
2012-10-16,3519.1673447994544
2012-10-17,494.38440807034897
2012-10-18,-3762.2379955314736
2012-10-19,-8338.94262852326
2012-10-22,-976.3904271544272
2012-10-23,-6770.800425630088
2012-10-24,-4695.101382289553
2012-10-25,1514.7674632761655
2012-10-26,3234.1176896341067
2012-10-31,2274.7880098986734
2012-11-01,3509.688069131146
2012-11-02,-8710.572065515325
2012-11-05,3215.0397798742233
2012-11-06,5101.929197073052
2012-11-07,-9087.456743148783
2012-11-08,-2230.3828773672494
2012-11-09,647.5013147112425
2012-11-12,562.8049615005359
2012-11-13,-1569.9707337819534
2012-11-14,-7881.600655065431
2012-11-15,-2454.9443773808807
2012-11-16,2547.8337825613808
2012-11-19,12402.356472089368
2012-11-20,-2690.169845033013
2012-11-21,1131.266784639694
2012-11-23,9702.280063258737
2012-11-26,-249.40756327607951
2012-11-27,-2729.5976948863836
2012-11-28,2519.9882913845454
2012-11-29,3398.86785403944
2012-11-30,-1570.816016405468
2012-12-03,-2658.9027461983137
2012-12-04,-961.2115476354355
2012-12-05,667.5303193588185
2012-12-06,2916.6517042098085
2012-12-07,95.31436309142063
2012-12-10,1935.6297057562074
2012-12-11,2027.7841594371305
2012-12-12,-2518.1528377748105
2012-12-13,-4779.561062301765
2012-12-14,-584.8999249142804
2012-12-17,3523.137643044961
2012-12-18,1912.8951689719058
2012-12-19,-4007.2883700791194
2012-12-20,1653.5253975941566
2012-12-21,-2194.6465886926126
2012-12-24,-2030.8554882322383
2012-12-26,-1487.2612392184408
2012-12-27,386.89677864209153
2012-12-28,-5675.561247251553
2012-12-31,7132.751602410481
2013-01-02,12880.846810385037
2013-01-03,-6590.141481416412
2013-01-04,2893.643678517845
2013-01-07,-2483.556893644638
2013-01-08,971.4125265013203
2013-01-09,1227.0834362183468
2013-01-10,5443.587807676427
2013-01-11,1325.9529332839538
2013-01-14,-651.3121060728978
2013-01-15,2500.223208391291
2013-01-16,521.1067065173028
2013-01-17,2002.087883952586
2013-01-18,3020.946085558646
2013-01-22,4238.32195315422
2013-01-23,168.3651735780575
2013-01-24,-2369.6967503457254
2013-01-25,-803.1788668150153
2013-01-28,-1968.12580588435
2013-01-29,1622.4138381793703
2013-01-30,-1668.3545985608055
2013-01-31,-1181.992719774387
2013-02-01,3105.8546010605714
2013-02-04,-3090.1281341090457
2013-02-05,3759.5087039235586
2013-02-06,2873.646736606905
2013-02-07,-1859.642321404651
2013-02-08,4041.301287050115
2013-02-11,-2056.984053173844
2013-02-12,545.3842012066584
2013-02-13,-2319.72606883906
2013-02-14,2146.7244259628087
2013-02-15,-3911.666887146434
2013-02-19,2817.2366590027987
2013-02-20,-10575.542122145715
2013-02-21,-1036.2601229380577
2013-02-22,6349.624858035252
2013-02-25,-5323.318177285988
2013-02-26,4460.017069346369
2013-02-27,5180.265397463269
2013-02-28,-2252.8342124874725
2013-03-01,2783.260306720313
2013-03-04,1720.5556127630177
2013-03-05,4710.4167027683525
2013-03-06,-628.1176590232651
2013-03-07,-1375.864847175251
2013-03-08,-49.81664279061154
2013-03-11,2787.295036430447
2013-03-12,1624.5652232582995
2013-03-13,71.43212543884515
2013-03-14,2447.244052991571
2013-03-15,688.5085138294137
2013-03-18,-89.216956950907
2013-03-19,966.3121695728356
2013-03-20,688.1031154559755
2013-03-21,-1900.5378175407875
2013-03-22,4318.7580195315495
2013-03-25,-3045.5442339408505
2013-03-26,4578.049124537909
2013-03-27,2740.20404636706
2013-03-28,-310.6144513349027
2013-04-01,-290.0245746358523
2013-04-02,-250.43798153518523
2013-04-03,-5559.448361985467
2013-04-04,4957.929329630839
2013-04-05,4789.876422405513
2013-04-08,1486.1449898018545
2013-04-09,2613.2891413541925
2013-04-10,1291.3706305628689
2013-04-11,2740.6841492618264
2013-04-12,-4996.4018381042215
2013-04-15,-25689.58808198825
2013-04-16,8424.330727053115
2013-04-17,-7098.173536197372
2013-04-18,-1548.3408083366373
2013-04-19,5966.117457909123
2013-04-22,5506.368397770559
2013-04-23,4164.233791887279
2013-04-24,2636.1194779631173
2013-04-25,4839.416282496978
2013-04-26,453.8937536061199
2013-04-29,4565.271540778929
2013-04-30,2066.4166522224705
2013-05-01,-4482.9073406602765
2013-05-02,6082.252302097067
2013-05-03,268.6773149553081
2013-05-06,965.174327658236
2013-05-07,177.92886720253478
2013-05-08,5325.281230552051
2013-05-09,-4084.389292949549
2013-05-10,-2046.327314444575
2013-05-13,-2708.3298924996852
2013-05-14,2764.6739655473643
2013-05-15,1388.8661955000357
2013-05-16,-841.0956784304052
2013-05-17,-821.7748473826774
2013-05-20,4229.467891936747
2013-05-21,314.14580259916903
2013-05-22,-9272.473154423498
2013-05-23,2448.633192970264
2013-05-24,-1115.430323813095
2013-05-28,-3137.883862378423
2013-05-29,384.4377512088415
2013-05-30,3668.5981972353056
2013-05-31,-12606.014344474701
2013-06-03,7489.156487880447
2013-06-04,-6623.804788032933
2013-06-05,-4710.59078037722
2013-06-06,6369.029119382946
2013-06-07,-539.6374196153484
2013-06-10,-455.06882355377473
2013-06-11,-4039.0103844624905
2013-06-12,-7466.909820054897
2013-06-13,12371.983884157096
2013-06-14,-3595.7959441966814
2013-06-17,2555.5976005128928
2013-06-18,3006.7915206556963
2013-06-19,-12701.832005219558
2013-06-20,-27443.1476977223
2013-06-21,-603.6643688973795
2013-06-24,-7943.762200278859
2013-06-25,2945.6767855248513
2013-06-26,1086.612872590661
2013-06-27,3057.035674697234
2013-06-28,3286.1831989127422
2013-07-01,6531.285333443109
2013-07-02,-2060.0042483166585
2013-07-03,371.32676078673444
2013-07-05,-5560.7497282479
2013-07-08,7617.369420613505
2013-07-09,5946.184288183907
2013-07-10,-1335.0562335259158
2013-07-11,15058.0759890331
2013-07-12,-90.63272339980978
2013-07-15,3667.594276926753
2013-07-16,-543.8968191594988
2013-07-17,100.06748747818706
